Timestamp(us),Time,CPU_Core,PID,TID,Command,FD,Raw_Cmd_Hex,IOCTL_Dir,IOCTL_Type(Char),IOCTL_Nr,Data_Size_Bytes
7644109461,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644109695,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644109818,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644110201,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644110666,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644110950,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644111205,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644112202,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644112979,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644113189,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644113380,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644114031,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644114478,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644114704,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644114859,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644115019,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644115157,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644115647,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644115813,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644116160,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644116480,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644116727,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644117908,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644118139,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644118408,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644118549,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644118911,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644119239,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644119948,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644120232,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644120559,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644120833,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644121013,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644121684,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644122264,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644122616,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644126014,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644126366,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644127487,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644127679,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644127863,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644128166,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644128323,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644128458,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644128716,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644128875,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644129044,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644129200,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644129504,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644129835,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644130356,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644130556,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644130745,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644130892,15:57:17,14,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644139578,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644139749,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644139984,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644140357,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644140457,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644140609,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
7644140814,15:57:17,15,18853,18853,python,3231285064,0x10,NONE,0x00,16,0
