Time,Latency_Delta_ms,Direction,Src_IP,Dest_IP,Payload_MB
16:02:07,0.72,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,56.64,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.94,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.16,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,33.18,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,5.7,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.87,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.65,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.36,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,11.48,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.72,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.62,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,2.13,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,143.29,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,1.36,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.23,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.57,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.5,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,3.03,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,20.3,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.98,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:07,0.75,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.2,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,59.7,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.49,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.62,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,36.21,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.04,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.11,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,33.25,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.35,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.06,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,28.28,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.17,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.61,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.94,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.85,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,13.03,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.01,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.74,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.01,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,6.96,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,6.3,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.12,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.44,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,53.87,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.11,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.84,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.25,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.05,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,7.18,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.77,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.82,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.48,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.07,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.06,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.78,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.63,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.81,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,5.12,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,7.08,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,5.16,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.88,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,0.9,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,2.84,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,42.75,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,1.0,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.35,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,3.8,IN_RECV,192.168.52.99,192.168.52.110,0.25
16:02:08,7.43,IN_RECV,192.168.52.99,192.168.52.110,0.25
